UWBM,Bird,77763,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,80043,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male,present,round/wing | tissue,
MSB,Bird specimens,MSB:Bird:46467,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
UTEP,Bird specimens,UTEP:Bird:2204,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,female,,skeleton; feather; wing,
UWBM,Bird,37523,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male,present,skeleton | wing,
UWBM,Bird,48363,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,female,present,round skin | wing,
UWBM,Bird,77538,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,77578,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,77760,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,77762,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male,present,round/wing | tissue,
YPM,VZ,YPM ORN 142246,,Archilochus alexandri,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,Species,,Black-chinned Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; tissue frozen",
MSB,Bird specimens,MSB:Bird:46469,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"heart, liver, muscle (frozen); skeleton; blood (flash-frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
YPM,VZ,YPM ORN 142245,,Archilochus alexandri,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,Species,,Black-chinned Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142248,,Archilochus alexandri,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,Species,,Black-chinned Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
